Title,Author,Recommended,Language,Comments
The Rape of Nanking: The Forgotten Holocaust of World War II ,Iris Chang,Absolutely!,English,Well documented account of the horror of the Japanse invasion into China
12 Rules for life,Jordan B. Peterson,No,English,
Lying,Sam Harris,Absolutely!,English,
Humble Pi: A Comedy of Maths Errors,Matt Parker,Yes,English,
De Aanslag,Harry Mulisch,Yes,Dutch,
De Glazen Brug,Marga Minco,Yes,Dutch,
De Donkere Kamer van Damocless,Willem Frederik Hermans,Yes,Dutch,
And Then There Were None / Ten Little Niggers ,Agatha Christie,Yes,German,Fairly entertaining little murder mistery. 
The Count of Monte Cristo,Alexandre Dumas,Absolutely!,English,Prime exemple of a good hero story
Unit 731: Testimony,Hal Gold,Absolutely!,English,Gruesome and interesting for those with a morbid curiousity
Darkness at noon / Sonnenfinsternis,Arthur Koestler,Absolutely!,English,Into the minds of old communist way of thinking. Well written
Heart of Darkness,Joseph Conrad,Yes,English,
Brief aan de Koning,Tonke Dragt,Maybe,Dutch,
Geheimen van het Wilde Woud,Tonke Dragt,Maybe,Dutch,
Lord of the Flies,William Golding,Yes,Dutch,
"Thinking, Fast and Slow",Daniel Kahneman,Yes,Dutch,
The Alchemist,Paulo Coelho,Yes,Dutch,
Artemis Fowl,Eoin Colfer,Yes,Dutch,
Artemis Fowl and the Arctic Incident,Eoin Colfer,Yes,Dutch,
Artemis Fowl and the Eternity Code,Eoin Colfer,Yes,Dutch,
Artemis Fowl and the Opal Deception,Eoin Colfer,Yes,Dutch,
Black Rednecks and White Liberals,Thomas Sowell ,Absolutely!,English,"Compelling counter evidence to many ""self evident"" viewpoints. "
Intellectuals and Race,Thomas Sowell ,Yes,English,
Prisoner of the State:The Secret Journal of Premier Zhao Ziyang,Zhao Ziyang,Absolutely!,English,
The Gulag Archipelago,Aleksandr Solzhenitsyn,Absolutely!,English,"Gruesome and detailed, important piece of history and shows us what can go wrong with extremist views."
Betraying Big Brother: The Feminist Awakening in China,Leta Hong Fincher,Yes,English,
Hippias Minor,Plato,No,English,
Sheriff Larrabee's prisoner,Max Brand,Yes,English,
The Diary of Anne Frank / Het Achterhuis,Anne Frank,Yes,English Dutch,She was remarkable smart and philosofically minded.
Brave New World,Aldous Huxley,Mabye,English,
Fatelessness,Imre Kertész,Yes,English,
Stealth War,Robert Spalding,No,English,"Very superficial, not a lot of hard data. He might have been a great pilot but he is not much of a writer."
Ordinary Men: Reserve Police Battalion 101 and the Final Solution in Poland,Christopher Browning,Yes,English,
The War on Normal People,Andrew Yang,Yes,English,
The Tears of My Soul,Kim Hyon-hu,Absolutely!,English,"Personal account of North Korea, very moving story"
Why People Believe Weird Things,Michael Shermer,Yes,English,
23 Things They Don't Tell You About Capitalism, Ha-Joon Chang,Yes,English,
A Billion Wicked Thoughts,Ogi Ogas / Sai Gaddam,Absolutely!,English,Must read book about human sexual interest and the differences between men and women
The Book of Five Rings,Musashi Myamoto,Yes,English,
Permanent Record,Edward Snowden,Yes,English,
Life of Pi,Yann Marte,No,English,
Letter to a Christian Nation,Sam Harris,Yes,English,
Alice's Adventures in Wonderland,Lewis Carroll,Yes,English,
The Da Vinci Code,Dan Brown,Yes,Dutch,
Angels and Demons,Dan Brown,Yes,Dutch,
The Lost Symbol,Dan Brown,Maybe,English,
Shike,Robert Shea,Absolutely!,Dutch,
"De Uitvreter, The Freeloader",Nescio,Yes,Dutch,"Highly unique book, with a fantastic ending"
The Lagoon,Joseph Conrad,Absolutely!,English,Conrad strikes at the core of human misery and suffering in such interesting ways with this short book
The Curious Incident of the Dog in the Night-Time,Mark Haddon,Yes,English,Unique perspective that can help understand certain forms of autism
Typhoon,Joseph Conrad,Maybe,English,
A History of Western Philosophy,Bertrand Russell,Yes,English,
Ender's Game,Orson Scott Card,Absolutely!,English,Really cool hero story with a fantastic plottwist. The parts about the brother and sister are a bit less interesting and could have been ommited in my opinion. 
The Bell Curve,"Richard J. Herrnstein /
Charles Murray",Yes,English,
Astrophyciscs for people in a hurry,Neil deGrasse Tyson,Maybe,English,
Eragon,Christopher Paolini,Yes,English,The whole series is a little more foccused on children but nonetheless an interesting fantasy hero story
Eldest,Christopher Paolini,Yes,English,
Brisingr,Christopher Paolini,Yes,English,
Inheritance,Christopher Paolini,Maybe,English,
A Song of Ice and Fire: A Game of Thrones,George R. R. Martin,Yes,English,
A Clash of Kings,George R. R. Martin,Yes,English,
Grimm's Fairy Tales / Children's and Household Tales,Jacob and Wilhelm Grimm,Yes,English,"Remarkable gruesome for a childrens book. It's ofcourse more of a collecting of short stories. Some good some decent. A few paterns pop up in many of the stories, including an event repeating 3 times and having a profoundly different result the 3rd time."
The Duel: A Military Story / The Point of Honor,Joseph Conrad,Yes,English,This obsession of one man with dueling and honor is very interesting. It's more of side story turned into a main story
Around the World in Eighty Days,Jules Verne,Yes,English German,"The best book of Verne, short and exciting story. "
Journey to the Center of the Earth,Jules Verne,No,English,"I don't really like Verne's writing style in general, combined with this rather boring story it's a pass"
Socialism: Utopian and Scientific,Friedrich Engels,No,English,These communism and socialism books are so incredible vague. They also read more like a religous text than actual science
The Secret Sharer,Joseph Conrad,No,English,
A Dog's Tale,Mark Twain,Absolutely!,English,"A darker side of Twain, kind of refreshing book"
Islam and the Future of Tolerance: A Dialogue,Sam Harris and Maajid Nawaz,Yes,English,
The Metamorphosis,Franz Kafka,Yes,English,
In Naam van Mijn Zus,Nabela Benaissa,Maybe,Dutch,
Anthem,Ayn Rand,Yes,English,
The Curious Case of Benjamin Button,F. Scott Fitzgerald,Yes,English,
The Haunted Island,Unknown,No,English,
Critias,Plato,No,English,
The Judgement,Franz Kafka,Yes,English ,
Is He Living or is He Dead?,Mark Twain ,Yes,English,
The Story of Keesh,Jack London,Yes,English,
The Bird Market,Anton Chekhov,No,English,
The Princess and the Puma,O.Henry,Yes,English,
The Story of The Good Little Boy,Mark Twain ,Yes,English,
The Story of the Bad Little Boy,Mark Twain ,Yes,English,
The Book of Sand,Jorge Luis Borges,Yes,English,
In Another Country,Ernest Hemingway,Maybe,English,
A Clean Well-Lighted Place,Ernest Hemingway,Maybe,English,
The Hunter Gracchus,Franz Kafka,Yes,English,
The Piano Next Door,Elia W. Peattie,No,English,
Who Was to Blame?,Anton Chekhov,Maybe,English,
The Case of Lady Sannox / The Kiss of Blood,Arthur Conan Doyle,Absolutely!,English,Superb plot twist
A Point of Contact,Arthur Conan Doyle,Maybe,English,
The Eye of the World: The Wheel of Time,Robert Jordan,Maybe,English,
Cannabalism in the Cars,Mark Twain,Absolutely!,English,creative story
The Three Questions,Leo Tolstoy,Yes,English,
The Danger of Lying in Bed,Mark Twain,Yes,English,
The Leopard Man's Story,Jack London,Yes,English,Simple but effective
The Story of an Hour,Kate Chopin,Yes,English,Very interesting twist. Another way to look at the world
The Little Match Girl,Hans Christian Andersen,Yes,English,
The Kite Runner,Khaled Hosseini,Yes,English,
The Last Galley,Arthur Conan Doyle,No,English,
The Three Hermits,Leo Tolstoy,Yes,English,
"God Sees the Truth, But Waits",Leo Tolstoy,Yes,English,
A Hunger Artist,Franz Kafka,Yes,English,
Before the Law,Franz Kafka,Absolutely!,English,Great analogy to life
Up in the Gallary,Franz Kafka,Maybe,English,
The Jackals and The Arabs,Franz Kafka,Yes,English,
The Cossack,Anton Chekhov,Maybe,English,
Children on a Country Road,Franz Kafka,No,English,
An Old Manuscript,Franz Kafka,Maybe,English,
Unmasking a Confidence Trickster,Franz Kafka,No,English,
A Sudden Walk,Franz Kafka,No,English,
The Bucket Rider,Franz Kafka,Yes,English,
In the Penal Colony,Franz Kafka,Absolutely!,English,Grusome but imensly interesting
Luck,Mark Twain,No,English,
Kruistocht in Spijkerbroek,Thea Beckman,Yes,Dutch,
The Tradesman ,Franz Kafka,No,English,
A Dream,Franz Kafka,No,English,
A Visit to a Mine,Franz Kafka,No,English,
On the Tram,Franz Kafka,No,English,
A Fratricide,Franz Kafka,No,English,
The New Advocate,Franz Kafka,No,English,
The Bridge,Franz Kafka,Yes,English,
Unhappiness,Franz Kafka,Maybe,English,
The Sudden Walk,Franz Kafka,Yes,English,
The Street Window,Franz Kafka,No,English,
The Knock At The Manor Gate,Franz Kafka,Yes,English,
The Dream of a Ridiculous Man,Fyodor Dostoyevsky,Absolutely!,English,Very thought provoking
Pigs is Pigs,Ellis Parker Butler,Yes,English,Funny little story
The Name of the Wind / The Kingkiller Chronicle: Day One,Patrick Rothfuss,Maybe,English,
How Much Land does a Man Need?,Leo Tolstoy,Yes,English,
A Report for an Academy,Franz Kafka,Absolutely!,English,Incredible creatieve perspective
There is a Reaper,Charles V De Vet,No,English,
Three and One Are One,Ambrose Bierce,No,English,
The Wrecker and the Death Ship,William Bottrell,No,English,
The Harlequin Tea Set,Agatha Christie,Yes,English,
The Violin of your Soul,Jason Stephenson,No,English,
Araby,James Joyce,No,English,
The Hanging Stranger,Philip K. Dick,Maybe,English,
Old Testament Book 8 Ruth,God,No,English,
The Young Tsar,Leo Tolstoy,Yes,English,
The Old Man and the Sea,Ernest Hemingway,No,English,
My Financial Career,Stephen Leacock,Yes,English,
Caline,Kate Chopin,No,English,
We Have Always Lived in the Castle,Shirley Jackson's,Yes,English,Nice admosphere! I read the abbridged version which I liked far more than the original.
The Magic Shop,H. G. Wells,Yes,English,
Quotations from Chariman Mao,Mao ze dong,No,English,Vague like a religious text
The Wheel of Time: The Great hunt,Robert Jordan,Yes,English,
Darkness,P.E. Rowe,Yes,English,
The Boy at Mugsby,Charless Dickens,No,English,
Passenger From Crewe,Frederick Cowles,Yes,English,
The Stolen Bacillus,H.G. Wells,No,English,
The Poor Traveller,Charless Dickens,Yes,English,
Meditations,Marcus Aurelius,Absolutely!,English,"Still relevant advice, time in this life is short and we die sooner than we might imagine, therefore try and do what you want to do in this life."
Of Consolation to Helvia,Seneca,Yes,English,
The Death of Ivan Ilyich,Leo Tolstoy,Yes,English,
The Candle,Leo Tolstoy,Maybe,English,
What Men Live By,Leo Tolstoy,Yes,English,
The Stranger,Albert Camus,Yes,English,
The Stranger,Norman Whitney,No,English,
The Lottery Ticket,Anton Chekhov,No,English,
Gooseberries,Anton Chekhov,Maybe,English,
The Proposal,Anton Chekhov,No,English,
The Student,Anton Chekhov,No,English,
A Problem,Anton Chekhov,Maybe,English,
The School Mistress,Anton Chekhov,No,English,
First Love,Vladimir Nabokov,No,English,
The Bet,Anton Chekhov,Yes,English,Interesting hypothetical
Fat and Thin,Anton Chekhov,No,English,
The Apple,H.G. Wells,Maybe,English,
Kicking Away the Ladder: Development Strategy in Historical Perspective,Ha-Joon Chang,Yes,English,
Waking Up_ A Guide to Spirituality Without Religion,Sam Harris,Absolutely!,English,
Christian Bible: 1 Thessalonians,God,No,English,
THE ORIGIN AND DEVELOPMENT OF PSYCHOANALYSIS,Sigmund Freud,Yes,English,
ON THE DUTY OF CIVIL DISOBEDIENCE,Henry David Thoreau,Yes,English,
The Album,Anton Chekhov,No,English,
Poetics,Aristotle,No,English,
Beowulf (short version),Unknown,Yes,English,
The Analects / Sayings of Confucius,Confucius,No,English,
Tao Te Ching / The Book Of The Way,Lao Tzu,Yes,English,Go with the flow vibe
Strawberry Spring,Stephen King,No,English,"I guessed the plot twist early on in the story, plus it's a horror book, so.... boring."
Internationalism or Extinction,Noam Chomsky,Yes,English,
An Appeal to the World: The Way to Peace in a Time of Division,Dalai Lama,Yes,English,
History of Israel – Palestine Conflict,Andrea Giordani,Yes,English,
Free Will,Sam Harris,Yes,English,
The End of Faith,Sam Harris,Yes,English,
Inside The Arab-Israeli Conflict: The Untold Stories of the Most Intriguing Spies,Afiane MD,Maybe,English,
History of Israel - Palestine Conflict,IntroBooks Audio,Yes,English,
The Subtle Art of Not Giving a F*ck,Mark Manson,No,English,Standard self help bulshit book
Mao Zedong: A Captivating Guide to the Life o a Chairman,Captivating History,Yes,English,
Political Ideals,Bertrand Russel,Yes,English,
The Ivy League Counterfeiter,Touré,No,English,
The Invention of Whiteness: The Long History of a Dangerous Idea,Robert P. Baird,Maybe,English,
White Fragility,Robin DiAngelo and  Toni Graves Williamson,No,English,
The Only Living Girl on Earth,Charles Yu,No,English,
The Antichrist,Friedrich Nietzsche,Maybe,English,
The Communist Manifesto,Karl Marx and Friedrich Engels,No,English,"Bourgeouse this and that, blablabla. I have two main issues with this book. 1 It is a very vague book without concrete detailed examples. 2 The claims it makes are with so much certainty while not providing much evidence for it. Therefore it reads like a religious book."
You're Cute When You're Mad,Celeste Headlee,Maybe,English,
Land of Delusion: Deep inside the world of crackpots,Colin Dickey,Yes,English,2024 from here
Harrison Bergeron,Kurt Vonnegut Jr,Absolutely!,English,Profound critique of extreme equality
The Golden Key,Emmet Fox,No,English,
The Sniper,Liam O'Flaherty,Yes,English,
A Very Old Man with Enormous Wings,Gabriel Garcia Marquez,No,English,
The Secret Life of Walter Mitty,James Thurber,Absolutely!,English,Interesting first person view of a dreamer like myself
Dagon,H.P LOVECRAFT,No,English,
A Dead Body,Anton Chekhov,No,English,
EPICAC,Kurt Vonnegut,Yes,English,Decent story
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Yes,English,"Takes a while to start, funny"
Fundamental Principles of the Metaphysic of Morals,Immanuel Kant,No,English,"Too abstract, gets somewhat better towards the end"
The Trial for Murder  / To Be Taken With A Grain of Salt,Charles Dickens,No,English,Ghost story
The Star ,Arthur C Clarke,Absolutely!,English,Fantastic short story
Miss Brill,Katherine Mansfield,No,English,Okayish
How the Camel got his Hump,Rudyard Kipling,Yes,English,Funny little fairy tale
The Catcher in the Rye,J.D Salinger,No,English,"Most of the interest in this story comes from the unique way of looking at the world by the main character. He dislikes everything and all that happens to him he twists into thinking it's something bad. Still, that could have been conveyed within 20min or so, intstead it dragged on and on. It also had a boring ending"
The Snows of Kilimanjaro,Ernest Hemingway,Absolutely!,English,Interesting perspective
For a Single Word,Leo Tolstoy,No,English,Boring ending
My Dream,Leo Tolstoy,Yes,English,Interesting perspective
Aloysha the Pot,Leo Tolstoy,Yes,English,Interesting ending
Ilyas,Leo Tolstoy,Yes,English,Typical Tolstoy morale but still well told
The Green Kitten,Maxim Gorky,Maybe,English,Boring ending but interesting setting
Diary of a Lunatic,Leo Tolstoy,Yes,English,"Interesting contemplation of death, boring morale of Tolstoy but still"
The Coffee House of Surat,Leo Tolstoy,Yes,English,Thought provoking ideas. One of the better stories of Tolstoy
The Finances of the Gods,Rudyard Kipling,No,English,Boring gods story
The Prisoners,Guy de Maupassant,Maybe,English,Decent short story but I missed the apparent plot twist
Exiled in Siberia,Leo Tolstoy,Yes,English,A strange but intriguing tale with standard Tolstoy morale
An Honest Thief,Fyodor Dostoevsky,Yes,English,"Powerful story, much to contemplate"
The Sun Also Rises,Ernest Hemingway,No,English,Incredibly boring
The Fisherman and His Soul,Oscar Wilde,Maybe,English,Strange story
Mistborn: The Final Empire,Brandon Sanderson,Yes,English,Interesting alternative to the usual fantasy novels
My Old Man,Ernest Hemingway,No,English,Boring
The Israel Lobby and U.S. Foreign Policy,John J. Mearsheimer Stephen M. Walt,Maybe,English,Interesting book even though I disagree with many positions. Biggest Issue I have is that it feels more like an opinion piece rather than hard data. I do like Mearsheimers stance on free speech and open debate though but I feel like he is somewhat dishonest and one sided. 
A Friend in Need,Somerset Maugham,Yes,English,Dark and nice
The Bum,Somerset Maugham,Maybe,English,After explanation it's an interesting idea. The bum is what once was the writer.
The Consul,Somerset Maugham,No,English,I don't understand it
Bookshop Memories,George Orwell ,Yes,English,Interesting thoughts on different times
The Road with No Return,Andrzej Sapkowski,Yes,English,"Short story before the Witcher main series, pretty decent"
The Dream,Somerset Maugham,Yes,English,Interesting turn of events
The Social Sense,Somerset Maugham,No,English,Not that interesting
In a Strange Land,Somerset Maugham,No,English,Not interesting 
The Witcher 1: The Last Wish,Andrzej Sapkowski,Yes,English,More of a collection of small stories fairy tale style than a real book but still entertainable. 
The End of The Flight,Somerset Maugham,Mabye,English,
Princess September,Somerset Maugham,Yes,English,Nice little fairy tale
News of Paris 15 years ago,F Scott Fitzgerald,No,English,
Three Hours Between Planes,F Scott Fitzgerald,Yes,English,Short story with a nice comtemplation about getting older
A New Leaf,F Scott Fitzgerald,Yes,English,Good tragic story
The Witcher 2: Sword of Destiny,Andrzej Sapkowski,Yes,English,Second Witcher book. Pretty decent with some issues. Random creatures that have imbalanced powers. For example the changelings. This was a small side story but the changeling could be considered one of the most powerful creatures around that could have easily changed the whole flow of the story. Instead you meet them for one or two chapters and they are never spoken of again. Feels weird.
An Official Position,Somerset Maugham,Yes,English,Nice little story
The Happy Couple,Somerset Maugham,Maybe,English,Decent
The Case of The Perfect Maid,Agatha Christie,Maybe,English,Well written but not my cup of tea
Now I Lay Me,Ernest Hemingway,No,English,Boring
A Chance Aquintance,Somerset Maugham,Yes,English,I like it but I am not really sure why
The Burried Talent,Somerset Maugham,Absolutely!,English,Dark and deep
The Hairless Mexican,Somerset Maugham,Yes,English,Nice admosphere but incomplete
The Ring of Thoth: An Egyptian Mystery,Arthur Conan Doyle,Maybe,English,Well written but not my genre
The Witcher 3: Bloof of Elves,Andrzej Sapkowski,Yes,English,Fun but more like a 6.5 out of 10 fun 
Jane,Somerset Maugham,Absolutely!,English,One of the very few female centric books I really like. 
The Happy Man,Somerset Maugham,Yes,English,Fun little life story
An Egyptian Cigarette,Kate Chopin,Maybe,English,"Fancy words, decent story"
A Sherlock Holmes Novel: A Study in Scarlet,Arthur Conan Doyle,Yes,English,"Great book! In comparison to the BBC serie, Sherlock is more down to earth, happy, doesnt know as much about everything but rather a few specific scientific subjects. Much more calm and less over the top story. He isnt as autistic and lonewolfy as in the BBC show which I really like. The second part of the book focussing on the mormons is much more boring and would be a ""no"" if it was a separate story "
The Portrait of a Gentleman,Somerset Maugham,Yes,English,Almost a Absolutely!. Life through poker
A String of Beads,Somerset Maugham,Yes,English,Meta story about stories about beads
Das Rätsel,Brothers Grimm,Yes,German,Kinda weird but fun little fairytale 
The Treasure,Somerset Maugham,Yes,English,Surprisingly fun considering the subject matter
Men At Work,Graham Greene,Yes,English,Funny little story
The Closed Shop,Somerset Maugham,Maybe,English,Peculiar story about a law slowly being changed. Not really my thing though. 
The Woman Who Came in at Six O'clock,Gabriel Garcia Marquez,No,English,Had much potiental but boring ending
THE HANDSOMEST DROWNED MAN IN THE WORLD,Gabriel Garcia Marquez,Yes,English,Strangly intriguing tale about imagination
THE JILTING OF GRANNY WEATHERALL,Katherine Anne Porter,Yes,English,"Maybe even a Absolutely! Really good book about death, memories and the end of life"
A DRIVE IN THE COUNTRY,Graham Greene,Yes,English,Feel a bit conflicted about this one. I liked the boyfriend arc but the rest was kinda meh
The Lamp,Agatha Christie,No,English,"I do wonder why I keep thinking ghost stories could be fun, only to be completely bored. "
One of These Days,Gabriel Garcia Marquez,Maybe,English,"Nice setting and undertone but it leans too much on indirect messages, abstract conception. It had more potential if you ask me"
The Dispenser of Holy Water,Guy de Maupassant,No,English,"Boring ending. I was waiting for a strong plot twist. The story was building up to it but alas, it turned out to be a very mundane finish.  "
Solitude,Guy de Maupassant,Absolutely!,English,Nice contemplation of loneliness and human existance 
A Sherlock Holmes Novel: The Sign of the Four,Arthur Conan Doyle,No,English,Hard to concentrate when reading this one. Too long and uninteresting for me
1 A Scandal in Bohemia from The Adventures of Sherlock Holmes,Arthur Conan Doyle,Yes,English,Better more fun little story
Die Maus mit dem mutigen Herz,Susanne Bohne,Yes,German,Cute little story
Mupf das Müllmonster,Susanne Bohne,Yes,German,Cute little story
The Invisible Japanese Gentlemen,Graham Greene,Absolutely!,English,Made me smile! Fun little story about observation
The Inn of the Two Witches,Joseph Conrad,No,English,Boring horror book
The Verdict,Edith Wharton,No,English,Not my thing
The Devoted Friend,Oscar Wilde,Yes,English,Fun meta little fairy tale
A Tale of Two Cities,Charles Dickens,Yes,English,"At times rather funny but I don't know if that was intentional or just the way books were written back then. It switches between a serious novel to random monthy python esque sketches.  The language used is tricky though and it feels like I sometimes loose a bit of the plot because of the complex ways of describing things.  Also much repetition, mont senieur, mont senieur! Interesting opening line:""it was the best of times, it was the worst of times, "" Describtion of the madame guilotine was also funny. Nevertheless the book is long and hard for me to follow. Could have been shortened to about 25% of it's size and it would have been a good book. Now I consider it too slow and a bit boring. It does get much much better towards the end."
The Ransom,Cutliffe Hyne,Yes,English,
A Discovery in the Woods,Graham Greene,Yes,English,Lord of the flies vibes. Decent enough
Roman Fever,Edith Wharton,Yes,English,Tricky start but interesting plot twists. Women really are aliens sometimes. 
The Hint of an Explanation,Graham Greene,Maybe,English,Interesting premise but boring ending
When Greek meets Greek,Graham Greene,Yes,English,Unique story
Two Friends,Guy de Maupassant,Yes,English,Nice twist
A Meeting,Guy de Maupassant,No,English,Fairly boring. Perhaps because I've read similar stories before and I only have so much enjoyment I can get out of this type of story
Beyond the Bayou,Kate Chopin,No,English,Not interested
A Good Man Is Hard to Find,Flannery O'Connor,Yes,English,The plottwist redeems the story
A Pair of Silk Stockings,Kate Chopin,Maybe,English,"Meh, had potential but ultimately, meh."
The Distance to the Moon,Italo Calvino,Maybe,English,"Bonus points for being weird, still fairly boring"
Things,D H Lawrence,Yes,English,"Unique story, talks about never ending human desire for new experiences and the things we cling to. It had many interesting themes in one"
Confido,Kurt Vonnegut,Maybe,English,Decent but a bit too straightforward
Story of Your Life / arrival ,Ted Chiang,Yes,English,"Cool and unique writing style and story. That said, it was pretty obvious the  written Alien language was quite similar to Chinese Characters but they ommited this referenced for some  unknown reason. It broke the uncanny valley. Somewhere in between a Yes and Absolutely for me, at some point in the future I wanna reasses. "
Just Before the War With the Eskimos,J D Salinger,No,English,Not good. Not really sure what the point was
The Lauging Man,J D Salinger,No,English,Weird and boring
The Poet,Somerset Maugham,Absolutely!,English,Perfect plot twist
Love in a Slump,Evelyn Waugh,No,English,Boring
A House of Gentle Folk,Evelyn Waugh,Yes,English,Interesting theme
The Manager of the Kremlin,Evelyn Waugh,No,English,Dull
The Grave,Guy de Maupassant,Yes,English,Good short refliction upon death.
TUESDAY SIESTA,Gabriel Garcia Marquez,No,English,Lacks a plottwist
On Guard,Evelyn Waugh,Yes,English,Creative and funny
MR LOVEDAY'S LITTLE OUTING,Evelyn Waugh,Absolutely!,English,Despite predicting the plot twist well ahead of time it is still a great story.
The Romantic Young Lady,Somerset Maugham,No,English,Weak story
Discworld 1:  Colour Of Magic,Terry Pratchett,Yes,English,"""the gods had a habbit of going to atheist's houses, and smashing their windows"" One of the funnier books I've read. The main issue is that it's a bit long winded"
Why Don't You Dance?,Raymond Carver,No,English,I don't get it. 
THE PERENNIAL PHILOSOPHY,Aldous Huxley,No,English,"""The form of the moon can only be known through ones own eyes"" So no one else can tell you about it's shape? It cannot be measured? Wise sounding bullshit that can easily be demonstrated to be false. I found this particular sentence to be emblamatic of the whole thesis. The sentences are well written but the substance seems to be mostly nonesense.  "
Mr Know All,Somerset Maugham,Yes,English,Fun twist and well told.
The Promise,Somerset Maugham,No,English,He has a good writing style but this story was fairly pointless
Battleground,Lester del Rey,Yes,English,"Pretty predictable sci fi trope. Still, fairly alright"
The Facts of Life,Somerset Maugham,Yes,English,Took some different turns than I expected. Read a bit like an old fairy tale. Nice  story overall
In the Graveyard,Anton Chekhov,No,English,One of Anton's many stories I don't really understand. I feel like much is either lost in translation or I am missing something else entirely
A Perfect Day for Bananafish,J.D. Salinger,Maybe,English,I like the darker side but it felt... lacking somewhat.
Too Much Tolerance,Evelyn Waugh,Yes,English,Much truth to this little short story. I think we all know all least one person like this in real life
Out of Depth,Evelyn Waugh,Maybe,English,"Mixed feelings about this one. One of the commenters said it best: ""This is less a short story and more the beginning of a dystopian novel; the middle is more notes to be fleshed out later. Parts of it have no sense because there is no reference to anchor any if it. Very strange and going nowhere."""
